Player,Position,Team,Opp,Salary,Floor,Value,Ceiling,Value
Ryan Griffin,TE,NYJ,@BUF,3400,0,-6.19,13.5,7.29
Cole Kmet,TE,CHI,@DET,3400,0,-6.19,12.8,6.62
Demarcus Robinson,WR,KC,HOU,3400,0,-6.7,14.8,8.14
Chris Herndon,TE,NYJ,@BUF,3300,0.9,-5.11,16.6,10.56
Adam Humphries,WR,TEN,@DEN,3300,0.6,-5.91,17.8,11.35
Nick Boyle,TE,BAL,CLE,3300,0.5,-5.47,15.7,9.65
KJ Hill,WR,LAC,@CIN,3300,0,-6.5,11.7,5.22
Deonte Harris,WR,NO,TB,3300,0,-6.5,12.3,5.76
KeeSean Johnson,WR,ARI,@SF,3300,0,-6.5,13,6.47
Quintez Cephus,WR,DET,CHI,3300,0,-6.5,13.2,6.69
Chicago Bears,DEF,CHI,@DET,3300,1.8,-6.66,10.4,1.94
Green Bay Packers,DEF,GB,@MIN,3300,1.6,-6.85,9.3,0.84
Jason Witten,TE,LV,@CAR,3200,0,-5.82,13.5,7.72
Jesse James,TE,DET,CHI,3200,0,-5.82,13.3,7.51
DaeSean Hamilton,WR,DEN,TEN,3200,0,-6.3,13.9,7.55
Riley Ridley,WR,CHI,@DET,3200,0,-6.3,13.1,6.76
Damiere Byrd,WR,NE,MIA,3200,0,-6.3,15.5,9.24
Maxx Williams,TE,ARI,@SF,3200,0,-5.82,12.4,6.54
Kaden Smith,TE,NYG,PIT,3200,0,-5.82,12.4,6.61
New England Patriots,DEF,NE,MIA,3200,2.5,-5.64,14.9,6.7
Dallas Cowboys,DEF,DAL,@LAR,3200,1.9,-6.3,11,2.82
Washington Football Team,DEF,WAS,PHI,3200,1.5,-6.66,8.9,0.69
Irv Smith Jr.,TE,MIN,GB,3100,0.9,-4.78,16.2,10.52
Jordan Akins,TE,HOU,@KC,3100,0.5,-5.15,15.9,10.23
Tavon Austin,WR,SF,ARI,3100,0,-6.11,11.5,5.4
Vance McDonald,TE,PIT,@NYG,3100,0,-5.64,12.8,7.15
Adam Shaheen,TE,MIA,@NE,3100,0,-5.64,13,7.39
Javon Wims,WR,CHI,@DET,3100,0,-6.11,13.3,7.2
Noah Brown,WR,DAL,@LAR,3100,0,-6.11,11.5,5.4
Drew Sample,TE,CIN,LAC,3100,0,-5.64,12.3,6.65
Jaydon Mickens,WR,TB,@NO,3100,0,-6.11,11.5,5.4
Baltimore Ravens,DEF,BAL,CLE,3100,2.2,-5.7,13,5.12
Minnesota Vikings,DEF,MIN,GB,3100,1.6,-6.34,9.2,1.34
Freddie Swain,WR,SEA,@ATL,3000,0,-5.91,11.5,5.6
KhaDarel Hodge,WR,CLE,@BAL,3000,0,-5.91,12.3,6.42
Van Jefferson,WR,LAR,DAL,3000,0,-5.91,17.3,11.36
Byron Pringle,WR,KC,HOU,3000,0,-5.91,12.8,6.89
Olamide Zaccheaus,WR,ATL,SEA,3000,0,-5.91,12.4,6.51
Jordan Reed,TE,SF,ARI,3000,0,-5.46,13.9,8.4
Trishton Jackson,WR,LAR,DAL,3000,0,-5.91,11.5,5.6
James Proche,WR,BAL,CLE,3000,0,-5.91,11.5,5.6
K.J. Osborn,WR,MIN,GB,3000,0,-5.91,12.4,6.54
Gabriel Davis,WR,BUF,NYJ,3000,0,-5.91,12.8,6.86
Ventell Bryant,WR,DAL,@LAR,3000,0,-5.91,13.8,7.89
Quez Watkins,WR,PHI,@WAS,3000,0,-5.91,11.5,5.6
Chris Moore,WR,BAL,CLE,3000,0,-5.91,12,6.14
K.J. Hamler,WR,DEN,TEN,3000,0,-5.91,11.5,5.6
